run_id,original_run_id,workflow,workflow_name,site_code,site,site_full_name,scheduler,run_type,run_number,source_key_compute_seconds,metadata_fetch_seconds,data_fetch_seconds,environment_creation_seconds,environment_pack_seconds,notebook_execution_seconds,total_runtime_seconds
dv5-cold-nd-1,dv5-cold-nd-1,DV5,Distributed HEP Analysis,nd,ND CRC,Notre Dame CRC,HTCondor,Cold,1,0.008000,3.373000,5841.695000,947.256000,242.153000,2342.796000,9377.281000
dv5-cold-nd-2,dv5-cold-nd-2,DV5,Distributed HEP Analysis,nd,ND CRC,Notre Dame CRC,HTCondor,Cold,2,0.008000,3.501000,6301.465000,538.001000,165.619000,2222.230000,9230.824000
dv5-cold-nd-3,dv5-cold-nd-3,DV5,Distributed HEP Analysis,nd,ND CRC,Notre Dame CRC,HTCondor,Cold,3,0.008000,3.402000,5586.547000,472.725000,157.197000,1775.277000,7995.156000
dv5-repeat-nd-1,dv5-repeat-nd-1,DV5,Distributed HEP Analysis,nd,ND CRC,Notre Dame CRC,HTCondor,Repeat,1,0.008000,3.222000,3.267800,0.000000,0.000000,3042.660000,3049.157800
dv5-repeat-nd-2,dv5-repeat-nd-2,DV5,Distributed HEP Analysis,nd,ND CRC,Notre Dame CRC,HTCondor,Repeat,2,0.008000,2.537000,2.558000,0.000000,0.000000,2165.061000,2170.164000
dv5-repeat-nd-3,dv5-repeat-nd-3,DV5,Distributed HEP Analysis,nd,ND CRC,Notre Dame CRC,HTCondor,Repeat,3,0.008000,2.272000,2.292000,0.000000,0.000000,2682.482000,2687.054000
dv5-cold-anvil-1,dv5-cold-anvil-1,DV5,Distributed HEP Analysis,anvil,Anvil,Purdue Anvil,Slurm,Cold,1,0.005000,1.212000,3849.861000,77.446000,86.958000,1762.011000,5777.493000
dv5-cold-anvil-2,dv5-cold-anvil-2,DV5,Distributed HEP Analysis,anvil,Anvil,Purdue Anvil,Slurm,Cold,2,0.005000,1.463000,4326.476000,114.635000,74.721000,1940.315000,6457.615000
dv5-cold-anvil-3,dv5-cold-anvil-3,DV5,Distributed HEP Analysis,anvil,Anvil,Purdue Anvil,Slurm,Cold,3,0.005000,1.262000,5907.559000,125.728000,119.780000,1236.307000,7390.641000
dv5-repeat-anvil-1,dv5-repeat-anvil-1,DV5,Distributed HEP Analysis,anvil,Anvil,Purdue Anvil,Slurm,Repeat,1,0.005000,1.326000,1.340000,0.000000,0.000000,2374.199000,2376.870000
